fat,calories,protein,rating,sodium,len_directions,len_ingredients,cluster
23.0,403.0,18.0,4.375,1439.0,5,28,8
79.0,948.0,19.0,4.375,1042.0,3,9,5
10.0,170.0,7.0,4.375,1272.0,3,10,12
41.0,602.0,23.0,3.75,1696.0,6,17,5
12.0,174.0,11.0,4.375,176.0,1,6,12
3.0,134.0,4.0,3.125,1394.0,3,8,11
31.0,382.0,5.0,4.375,977.0,2,16,12
5.0,146.0,4.0,1.875,160.0,3,10,11
68.0,890.0,59.0,4.375,1027.0,4,15,5
19.0,345.0,11.0,4.375,423.0,3,12,0
0.0,14.0,0.0,2.5,0.0,1,4,14
13.0,185.0,10.0,3.125,765.0,1,7,12
10.0,107.0,4.0,4.375,329.0,2,5,0
0.0,90.0,2.0,4.375,881.0,1,7,11
21.0,338.0,14.0,4.375,174.0,2,13,12
87.0,1203.0,89.0,5.0,583.0,5,16,5
10.0,223.0,4.0,4.375,211.0,5,17,0
3.0,194.0,2.0,3.75,697.0,1,9,12
15.0,293.0,7.0,5.0,565.0,5,12,0
12.0,224.0,21.0,3.125,340.0,5,13,12
20.0,185.0,0.0,3.75,155.0,1,7,0
59.0,830.0,9.0,4.375,148.0,5,14,5
12.0,298.0,6.0,4.375,199.0,1,10,0
18.0,517.0,7.0,5.0,20.0,11,17,8
28.0,599.0,48.0,4.375,1038.0,2,12,12
77.0,1143.0,63.0,0.0,311.0,5,13,4
17.0,508.0,45.0,4.375,826.0,1,12,12
70.0,1118.0,92.0,3.125,1226.0,2,12,5
8.0,209.0,5.0,4.375,77.0,2,6,0
25.0,310.0,3.0,4.375,89.0,3,11,0
10.0,248.0,3.0,3.125,73.0,1,3,0
25.0,519.0,14.0,5.0,1237.0,10,14,8
0.0,230.0,1.0,5.0,26.0,1,7,14
1.0,86.0,3.0,3.75,339.0,1,6,0
7.0,112.0,2.0,0.0,12.0,1,6,11
7.0,123.0,5.0,3.75,605.0,2,3,12
28.0,273.0,2.0,0.0,5.0,1,5,11
16.0,234.0,3.0,5.0,99.0,4,5,0
28.0,724.0,21.0,4.375,1130.0,2,14,5
23.0,323.0,16.0,4.375,656.0,6,13,12
19.0,235.0,13.0,5.0,388.0,4,6,12
12.0,288.0,4.0,3.75,199.0,9,16,0
15.0,148.0,0.0,3.75,188.0,1,4,0
14.0,171.0,2.0,3.75,9.0,1,9,0
2.0,54.0,4.0,0.0,872.0,5,13,11
20.0,439.0,20.0,3.75,1763.0,3,16,12
0.0,214.0,0.0,3.125,8.0,1,10,14
31.0,352.0,16.0,3.125,488.0,2,10,12
